,Модель,Описание,Цена
27,"
                    Xiaomi Redmi Note 12 6/128GB Mint Green
","
                Colour: Зеленый; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.67""; Камера 50 Mpix, AF; Разъем для карт памяти; MP3,  ГЛОНАСС / BEIDOU / Galileo / GPS; Вес: 186 г.
              ",16 990
28,"
                    Смартфон Xiaomi Redmi A1+ 2/32 GB, зеленый
","
                Материал: стекло/пластик; Линейка: Xiaomi Redmi A1+; Цвет: зеленый; Производитель: XIAOMI. ОС Android 12 Go, FM-радио, GPS, время работы в режиме разговора, до: 30 ч, в режиме ожидания, до: 746 ч, оперативная память: 2 ГБ, встроенная память: 32 ГБ
              ",7 990
29,"
                    Apple iPhone 14 128GB Черный (Dual Sim)
","
                Colour: Черный; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",84 990
30,"
                    Смартфон vivo Y21 4/64Gb, бриллиантовое сияние
","
                Материал: пластик; Линейка: vivo Y; Цвет: бриллиантовое сияние; Производитель: VIVO. ОС Android 11, FM-радио, GPS, с защитой от пыли и влаги, время работы в режиме разговора, до: 25 ч, в режиме ожидания, до: 639.3 ч, чехол в комплекте, оперативная память:
              ",12 990
31,"
                    Xiaomi Redmi Note 12 Pro 256GB Polar White
","
                Colour: Белый; Производитель: Xiaomi. 2G, 3G, 4G, Wi-Fi; ОС Android; Дисплей сенсорный 16,7 млн цв. 6.67""; Камера 108 Mpix, AF; MP3,  ГЛОНАСС / BEIDOU / Galileo / GPS; Вес: 202 г.
              ",26 990
32,"
                    Смартфон BQ Joy 2/32Gb, 6353L, зеленый
","
                Материал: стекло; Линейка: BQ Intense; Цвет: зеленый; Производитель: BQ. ОС Android 11 Go edition, FM-радио, GPS, оперативная память: 2 ГБ, встроенная память: 32 ГБ
              ",6 490
33,"
                    Apple iPhone 14 256GB Белый
","
                Colour: Белый; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.1""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 172 г.
              ",99 990
34,"
                    Смартфон INOI A62 Lite 64Gb, синий
","
                Материал: пластик; Линейка: INOI A; Цвет: синий; Производитель: INOI. ОС Android 11 Go edition, FM-радио, GPS, время работы в режиме разговора, до: 18 ч, в режиме ожидания, до: 720 ч, оперативная память: 2 ГБ, встроенная память: 64 ГБ
              ",5 890
35,"
                    Apple iPhone 14 Plus 128GB Фиолетовый
","
                Colour: Фиолетовый; Производитель: Apple. 2G, 3G, 4G, 5G, Wi-Fi; ОС iOS; Дисплей сенсорный емкостный 16,7 млн цв. 6.7""; Камера 12 Mpix, AF; MP3,  ГЛОНАСС / QZSS / GPS / BEIDOU / Galileo; Вес: 203 г.
              ",96 990
36,"
                    Смартфон REALME 10 4G 8/128Gb, RMX3630, черный
","
                Материал: стекло; Линейка: Realme 10; Цвет: черный; Производитель: REALME. ОС Android 12, GPS, время работы в режиме разговора, до: 38 ч, в режиме ожидания, до: 688 ч, чехол в комплекте, оперативная память: 8 ГБ, встроенная память: 128 ГБ
              ",21 990
